"기준_년분기_코드","자치구_코드","자치구_코드_명","총_상주인구_수","남성_상주인구_수","여성_상주인구_수","연령대_10_상주인구_수","연령대_20_상주인구_수","연령대_30_상주인구_수","연령대_40_상주인구_수","연령대_50_상주인구_수","연령대_60_이상_상주인구_수","남성연령대_10_상주인구_수","남성연령대_20_상주인구_수","남성연령대_30_상주인구_수","남성연령대_40_상주인구_수","남성연령대_50_상주인구_수","남성연령대_60_이상_상주인구_수","여성연령대_10_상주인구_수","여성연령대_20_상주인구_수","여성연령대_30_상주인구_수","여성연령대_40_상주인구_수","여성연령대_50_상주인구_수","여성연령대_60_이상_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수"
"20251","11290","성북구","425160","203927","221233","59077","64622","56048","63392","70853","111168","30148","30383","28067","31156","34887","49286","28929","34239","27981","32236","35966","61882","196499","0","196499"
"20251","11260","중랑구","381547","187074","194473","43022","49886","57665","53061","64643","113270","21987","23928","29391","27653","31883","52232","21035","25958","28274","25408","32760","61038","187708","0","187708"
"20251","11230","동대문구","340101","166877","173224","40870","56516","49132","48567","52445","92571","20765","26896","25299","25005","26457","42455","20105","29620","23833","23562","25988","50116","171946","0","171946"
"20251","11215","광진구","334942","160962","173980","38954","58750","54804","48013","53037","81384","19760","27249","27349","23527","25778","37299","19194","31501","27455","24486","27259","44085","169703","0","169703"
"20251","11200","성동구","276723","134232","142491","34713","40738","45505","40872","44362","70533","17595","19734","22300","20501","21810","32292","17118","21004","23205","20371","22552","38241","132568","0","132568"
"20251","11170","용산구","212914","102175","110739","24700","30051","37371","31257","34283","55252","12589","13817","18587","15459","16743","24980","12111","16234","18784","15798","17540","30272","107664","0","107664"
"20251","11140","중구","120961","58499","62462","11764","17451","20793","16721","19024","35208","5962","7955","10399","8518","9501","16164","5802","9496","10394","8203","9523","19044","64443","0","64443"
"20251","11110","종로구","138891","67075","71816","15634","21297","19193","19134","23857","39776","7753","10096","9591","9264","11824","18547","7881","11201","9602","9870","12033","21229","71657","0","71657"
"20244","11740","강동구","456800","223326","233474","69331","56158","68197","74019","70448","118647","36326","27099","33674","36909","34589","54729","33005","29059","34523","37110","35859","63918","202602","0","202602"
"20244","11710","송파구","653369","313941","339428","100673","84498","104592","106320","100921","156365","51621","39769","49938","51561","48580","72472","49052","44729","54654","54759","52341","83893","285415","0","285415"
"20244","11680","강남구","539297","257811","281486","93714","66957","78117","97922","84814","117773","48726","31547","36534","44924","42299","53781","44988","35410","41583","52998","42515","63992","237639","0","237639"
"20244","11650","서초구","406675","193785","212890","72508","49782","56784","72078","65066","90457","36889","23743","26281","33344","32181","41347","35619","26039","30503","38734","32885","49110","169277","0","169277"
"20244","11620","관악구","479790","241652","238138","41418","106527","87960","61487","65636","116762","21139","51742","49211","32996","33572","52992","20279","54785","38749","28491","32064","63770","283003","0","283003"
"20244","11590","동작구","377821","182627","195194","45924","63465","59696","54423","57169","97144","23461","30645","30332","27225","27718","43246","22463","32820","29364","27198","29451","53898","186078","0","186078"
"20244","11560","영등포구","373300","183040","190260","45114","56437","70341","53851","55282","92275","23157","25682","35590","27727","27916","42968","21957","30755","34751","26124","27366","49307","189447","0","189447"
"20244","11545","금천구","226388","113895","112493","22766","34593","37592","29458","37422","64557","11553","16714","20668","15766","18793","30401","11213","17879","16924","13692","18629","34156","119576","0","119576"
"20244","11530","구로구","391809","192021","199788","50630","50733","60910","58333","61848","109355","25876","24487","31014","29793","30639","50212","24754","26246","29896","28540","31209","59143","183638","0","183638"
"20244","11500","강서구","560995","268800","292195","72517","78869","95807","86146","83120","144536","37085","35710","47788","43214","40358","64645","35432","43159","48019","42932","42762","79891","273059","0","273059"
"20244","11470","양천구","435645","212647","222998","73086","52445","52981","72463","74778","109892","37891","26380","26333","34671","36926","50446","35195","26065","26648","37792","37852","59446","180421","0","180421"
"20244","11440","마포구","362701","169519","193182","46999","58755","63519","56769","55909","80750","23706","25795","30016","27471","27165","35366","23293","32960","33503","29298","28744","45384","180459","0","180459"
"20244","11410","서대문구","305725","145207","160518","39629","48112","44858","44230","48855","80041","19994","22416","22027","21889","23589","35292","19635","25696","22831","22341","25266","44749","146397","0","146397"
"20244","11380","은평구","466475","221573","244902","59799","61748","66290","70206","77786","130646","30572","28827","32355","34696","37478","57645","29227","32921","33935","35510","40308","73001","215511","0","215511"
"20244","11350","노원구","498037","239023","259014","73576","66256","61007","75380","86409","135409","38055","33564","30594","35976","41653","59181","35521","32692","30413","39404","44756","76228","217800","0","217800"
"20244","11320","도봉구","306437","148571","157866","36582","37326","37530","42450","54189","98360","18939","18604","19287","21295","25843","44603","17643","18722","18243","21155","28346","53757","137870","0","137870"
"20244","11305","강북구","287918","139417","148501","30704","38118","34968","39872","50233","94023","15700","18220","18416","20572","24836","41673","15004","19898","16552","19300","25397","52350","143436","0","143436"
"20244","11290","성북구","425160","203927","221233","59077","64622","56048","63392","70853","111168","30148","30383","28067","31156","34887","49286","28929","34239","27981","32236","35966","61882","196499","0","196499"
"20244","11260","중랑구","381547","187074","194473","43022","49886","57665","53061","64643","113270","21987","23928","29391","27653","31883","52232","21035","25958","28274","25408","32760","61038","187708","0","187708"
"20244","11230","동대문구","340101","166877","173224","40870","56516","49132","48567","52445","92571","20765","26896","25299","25005","26457","42455","20105","29620","23833","23562","25988","50116","171946","0","171946"
"20244","11215","광진구","334942","160962","173980","38954","58750","54804","48013","53037","81384","19760","27249","27349","23527","25778","37299","19194","31501","27455","24486","27259","44085","169703","0","169703"
"20244","11200","성동구","276723","134232","142491","34713","40738","45505","40872","44362","70533","17595","19734","22300","20501","21810","32292","17118","21004","23205","20371","22552","38241","132568","0","132568"
"20244","11170","용산구","212914","102175","110739","24700","30051","37371","31257","34283","55252","12589","13817","18587","15459","16743","24980","12111","16234","18784","15798","17540","30272","107664","0","107664"
"20244","11140","중구","120961","58499","62462","11764","17451","20793","16721","19024","35208","5962","7955","10399","8518","9501","16164","5802","9496","10394","8203","9523","19044","64443","0","64443"
"20244","11110","종로구","138891","67075","71816","15634","21297","19193","19134","23857","39776","7753","10096","9591","9264","11824","18547","7881","11201","9602","9870","12033","21229","71657","0","71657"
"20243","11740","강동구","456800","223326","233474","69331","56158","68197","74019","70448","118647","36326","27099","33674","36909","34589","54729","33005","29059","34523","37110","35859","63918","202602","0","202602"
"20243","11710","송파구","653369","313941","339428","100673","84498","104592","106320","100921","156365","51621","39769","49938","51561","48580","72472","49052","44729","54654","54759","52341","83893","285415","0","285415"
"20243","11680","강남구","539297","257811","281486","93714","66957","78117","97922","84814","117773","48726","31547","36534","44924","42299","53781","44988","35410","41583","52998","42515","63992","237639","0","237639"
"20243","11650","서초구","406675","193785","212890","72508","49782","56784","72078","65066","90457","36889","23743","26281","33344","32181","41347","35619","26039","30503","38734","32885","49110","169277","0","169277"
"20243","11620","관악구","479790","241652","238138","41418","106527","87960","61487","65636","116762","21139","51742","49211","32996","33572","52992","20279","54785","38749","28491","32064","63770","283003","0","283003"
"20243","11590","동작구","377821","182627","195194","45924","63465","59696","54423","57169","97144","23461","30645","30332","27225","27718","43246","22463","32820","29364","27198","29451","53898","186078","0","186078"
"20243","11560","영등포구","373300","183040","190260","45114","56437","70341","53851","55282","92275","23157","25682","35590","27727","27916","42968","21957","30755","34751","26124","27366","49307","189447","0","189447"
"20243","11545","금천구","226388","113895","112493","22766","34593","37592","29458","37422","64557","11553","16714","20668","15766","18793","30401","11213","17879","16924","13692","18629","34156","119576","0","119576"
"20243","11530","구로구","391809","192021","199788","50630","50733","60910","58333","61848","109355","25876","24487","31014","29793","30639","50212","24754","26246","29896","28540","31209","59143","183638","0","183638"
"20243","11500","강서구","560995","268800","292195","72517","78869","95807","86146","83120","144536","37085","35710","47788","43214","40358","64645","35432","43159","48019","42932","42762","79891","273059","0","273059"
"20243","11470","양천구","435645","212647","222998","73086","52445","52981","72463","74778","109892","37891","26380","26333","34671","36926","50446","35195","26065","26648","37792","37852","59446","180421","0","180421"
"20243","11440","마포구","362701","169519","193182","46999","58755","63519","56769","55909","80750","23706","25795","30016","27471","27165","35366","23293","32960","33503","29298","28744","45384","180459","0","180459"
"20243","11410","서대문구","305725","145207","160518","39629","48112","44858","44230","48855","80041","19994","22416","22027","21889","23589","35292","19635","25696","22831","22341","25266","44749","146397","0","146397"
"20243","11380","은평구","466475","221573","244902","59799","61748","66290","70206","77786","130646","30572","28827","32355","34696","37478","57645","29227","32921","33935","35510","40308","73001","215511","0","215511"
"20243","11350","노원구","498037","239023","259014","73576","66256","61007","75380","86409","135409","38055","33564","30594","35976","41653","59181","35521","32692","30413","39404","44756","76228","217800","0","217800"
"20243","11320","도봉구","306437","148571","157866","36582","37326","37530","42450","54189","98360","18939","18604","19287","21295","25843","44603","17643","18722","18243","21155","28346","53757","137870","0","137870"
"20243","11305","강북구","287918","139417","148501","30704","38118","34968","39872","50233","94023","15700","18220","18416","20572","24836","41673","15004","19898","16552","19300","25397","52350","143436","0","143436"
"20243","11290","성북구","425160","203927","221233","59077","64622","56048","63392","70853","111168","30148","30383","28067","31156","34887","49286","28929","34239","27981","32236","35966","61882","196499","0","196499"
"20243","11260","중랑구","381547","187074","194473","43022","49886","57665","53061","64643","113270","21987","23928","29391","27653","31883","52232","21035","25958","28274","25408","32760","61038","187708","0","187708"
"20243","11230","동대문구","340101","166877","173224","40870","56516","49132","48567","52445","92571","20765","26896","25299","25005","26457","42455","20105","29620","23833","23562","25988","50116","171946","0","171946"
"20243","11215","광진구","334942","160962","173980","38954","58750","54804","48013","53037","81384","19760","27249","27349","23527","25778","37299","19194","31501","27455","24486","27259","44085","169703","0","169703"
"20243","11200","성동구","276723","134232","142491","34713","40738","45505","40872","44362","70533","17595","19734","22300","20501","21810","32292","17118","21004","23205","20371","22552","38241","132568","0","132568"
"20243","11170","용산구","212914","102175","110739","24700","30051","37371","31257","34283","55252","12589","13817","18587","15459","16743","24980","12111","16234","18784","15798","17540","30272","107664","0","107664"
"20243","11140","중구","120961","58499","62462","11764","17451","20793","16721","19024","35208","5962","7955","10399","8518","9501","16164","5802","9496","10394","8203","9523","19044","64443","0","64443"
"20243","11110","종로구","138891","67075","71816","15634","21297","19193","19134","23857","39776","7753","10096","9591","9264","11824","18547","7881","11201","9602","9870","12033","21229","71657","0","71657"
"20242","11740","강동구","456800","223326","233474","69331","56158","68197","74019","70448","118647","36326","27099","33674","36909","34589","54729","33005","29059","34523","37110","35859","63918","202602","0","202602"
"20242","11710","송파구","653369","313941","339428","100673","84498","104592","106320","100921","156365","51621","39769","49938","51561","48580","72472","49052","44729","54654","54759","52341","83893","285415","0","285415"
"20242","11680","강남구","539297","257811","281486","93714","66957","78117","97922","84814","117773","48726","31547","36534","44924","42299","53781","44988","35410","41583","52998","42515","63992","237639","0","237639"
"20242","11650","서초구","406675","193785","212890","72508","49782","56784","72078","65066","90457","36889","23743","26281","33344","32181","41347","35619","26039","30503","38734","32885","49110","169277","0","169277"
"20242","11620","관악구","479790","241652","238138","41418","106527","87960","61487","65636","116762","21139","51742","49211","32996","33572","52992","20279","54785","38749","28491","32064","63770","283003","0","283003"
"20242","11590","동작구","377821","182627","195194","45924","63465","59696","54423","57169","97144","23461","30645","30332","27225","27718","43246","22463","32820","29364","27198","29451","53898","186078","0","186078"
"20242","11560","영등포구","373300","183040","190260","45114","56437","70341","53851","55282","92275","23157","25682","35590","27727","27916","42968","21957","30755","34751","26124","27366","49307","189447","0","189447"
"20242","11545","금천구","226388","113895","112493","22766","34593","37592","29458","37422","64557","11553","16714","20668","15766","18793","30401","11213","17879","16924","13692","18629","34156","119576","0","119576"
"20242","11530","구로구","391809","192021","199788","50630","50733","60910","58333","61848","109355","25876","24487","31014","29793","30639","50212","24754","26246","29896","28540","31209","59143","183638","0","183638"
"20242","11500","강서구","560995","268800","292195","72517","78869","95807","86146","83120","144536","37085","35710","47788","43214","40358","64645","35432","43159","48019","42932","42762","79891","273059","0","273059"
"20242","11470","양천구","435645","212647","222998","73086","52445","52981","72463","74778","109892","37891","26380","26333","34671","36926","50446","35195","26065","26648","37792","37852","59446","180421","0","180421"
"20242","11440","마포구","362701","169519","193182","46999","58755","63519","56769","55909","80750","23706","25795","30016","27471","27165","35366","23293","32960","33503","29298","28744","45384","180459","0","180459"
"20242","11410","서대문구","305725","145207","160518","39629","48112","44858","44230","48855","80041","19994","22416","22027","21889","23589","35292","19635","25696","22831","22341","25266","44749","146397","0","146397"
"20242","11380","은평구","466475","221573","244902","59799","61748","66290","70206","77786","130646","30572","28827","32355","34696","37478","57645","29227","32921","33935","35510","40308","73001","215511","0","215511"
"20242","11350","노원구","498037","239023","259014","73576","66256","61007","75380","86409","135409","38055","33564","30594","35976","41653","59181","35521","32692","30413","39404","44756","76228","217800","0","217800"
"20242","11320","도봉구","306437","148571","157866","36582","37326","37530","42450","54189","98360","18939","18604","19287","21295","25843","44603","17643","18722","18243","21155","28346","53757","137870","0","137870"
"20242","11305","강북구","287918","139417","148501","30704","38118","34968","39872","50233","94023","15700","18220","18416","20572","24836","41673","15004","19898","16552","19300","25397","52350","143436","0","143436"
"20242","11290","성북구","425160","203927","221233","59077","64622","56048","63392","70853","111168","30148","30383","28067","31156","34887","49286","28929","34239","27981","32236","35966","61882","196499","0","196499"
"20242","11260","중랑구","381547","187074","194473","43022","49886","57665","53061","64643","113270","21987","23928","29391","27653","31883","52232","21035","25958","28274","25408","32760","61038","187708","0","187708"
"20242","11230","동대문구","340101","166877","173224","40870","56516","49132","48567","52445","92571","20765","26896","25299","25005","26457","42455","20105","29620","23833","23562","25988","50116","171946","0","171946"
"20242","11215","광진구","334942","160962","173980","38954","58750","54804","48013","53037","81384","19760","27249","27349","23527","25778","37299","19194","31501","27455","24486","27259","44085","169703","0","169703"
"20242","11200","성동구","276723","134232","142491","34713","40738","45505","40872","44362","70533","17595","19734","22300","20501","21810","32292","17118","21004","23205","20371","22552","38241","132568","0","132568"
"20242","11170","용산구","212914","102175","110739","24700","30051","37371","31257","34283","55252","12589","13817","18587","15459","16743","24980","12111","16234","18784","15798","17540","30272","107664","0","107664"
"20242","11140","중구","120961","58499","62462","11764","17451","20793","16721","19024","35208","5962","7955","10399","8518","9501","16164","5802","9496","10394","8203","9523","19044","64443","0","64443"
